payment_id,file_id,reference_id,amount,currency,direction,counterparty,payment_date,expected_posting_date,status
PMT-000001,FILE-0001,REF-M-0001,1544.69,USD,inbound,Rogers-Galvan,2026-08-18,2026-08-18,unmatched
PMT-000002,FILE-0001,REF-M-0002,868.4,USD,inbound,House Ltd,2026-08-01,2026-08-02,unmatched
PMT-000003,FILE-0001,REF-M-0003,2092.5,USD,inbound,"Miller, Ross and Smith",2026-08-06,2026-08-06,unmatched
PMT-000004,FILE-0001,REF-M-0004,1550.37,USD,inbound,Morton PLC,2026-08-18,2026-08-19,unmatched
PMT-000005,FILE-0001,REF-M-0005,1253.68,USD,inbound,Collins-Snow,2026-08-03,2026-08-03,unmatched
PMT-000006,FILE-0001,REF-M-0006,364.63,USD,inbound,Rush-Sanchez,2026-08-20,2026-08-21,unmatched
PMT-000007,FILE-0001,REF-M-0007,2176.93,USD,inbound,Hall-Garza,2026-08-29,2026-08-30,unmatched
PMT-000008,FILE-0001,REF-M-0008,2336.46,USD,inbound,"Mason, Mercado and Rogers",2026-08-07,2026-08-08,unmatched
PMT-000009,FILE-0001,REF-M-0009,1246.98,USD,inbound,"Glover, Payne and White",2026-08-05,2026-08-05,unmatched
PMT-000010,FILE-0001,REF-M-0010,2141.61,USD,inbound,Curtis-Adams,2026-08-30,2026-08-30,unmatched
PMT-000011,FILE-0001,REF-M-0011,1912.32,USD,inbound,Park-Carter,2026-08-05,2026-08-05,unmatched
PMT-000012,FILE-0001,REF-M-0012,2243.83,USD,inbound,Jones PLC,2026-08-27,2026-08-27,unmatched
PMT-000013,FILE-0001,REF-M-0013,1626.22,USD,inbound,Bentley and Sons,2026-08-05,2026-08-05,unmatched
PMT-000014,FILE-0001,REF-M-0014,395.81,USD,inbound,Johnson-Cooper,2026-08-14,2026-08-14,unmatched
PMT-000015,FILE-0001,REF-M-0015,72.99,USD,inbound,"Payne, White and Shields",2026-08-04,2026-08-05,unmatched
PMT-000016,FILE-0001,REF-M-0016,2320.58,USD,inbound,Gaines LLC,2026-08-30,2026-08-31,unmatched
PMT-000017,FILE-0001,REF-M-0017,2163.73,USD,inbound,"Williams, Lang and Nelson",2026-08-02,2026-08-02,unmatched
PMT-000018,FILE-0001,REF-M-0018,853.41,USD,inbound,Melendez PLC,2026-08-20,2026-08-21,unmatched
PMT-000019,FILE-0001,REF-M-0019,1860.24,USD,inbound,Wade Ltd,2026-08-17,2026-08-18,unmatched
PMT-000020,FILE-0001,REF-M-0020,1919.31,USD,inbound,Day PLC,2026-08-21,2026-08-21,unmatched
PMT-000021,FILE-0001,REF-M-0021,1643.33,USD,inbound,Sims PLC,2026-08-18,2026-08-18,unmatched
PMT-000022,FILE-0001,REF-M-0022,529.44,USD,inbound,Johnson-Park,2026-08-23,2026-08-23,unmatched
PMT-000023,FILE-0001,REF-M-0023,1090.54,USD,inbound,"Cruz, Carter and Ellis",2026-08-21,2026-08-21,unmatched
PMT-000024,FILE-0001,REF-M-0024,43.02,USD,inbound,Jordan PLC,2026-08-07,2026-08-07,unmatched
PMT-000025,FILE-0001,REF-M-0025,42.42,USD,inbound,Forbes-Miller,2026-08-04,2026-08-04,unmatched
PMT-000026,FILE-0001,REF-M-0026,2259.59,USD,inbound,"Smith, Hester and Hill",2026-08-22,2026-08-23,unmatched
PMT-000027,FILE-0001,REF-M-0027,735.26,USD,inbound,Casey-Gibson,2026-08-29,2026-08-29,unmatched
PMT-000028,FILE-0001,REF-M-0028,2070.33,USD,inbound,"Holland, Scott and Webb",2026-08-08,2026-08-09,unmatched
PMT-000029,FILE-0001,REF-M-0029,2083.72,USD,inbound,Palmer-Bradshaw,2026-08-30,2026-08-30,unmatched
PMT-000030,FILE-0001,REF-M-0030,1367.61,USD,inbound,Allen LLC,2026-08-17,2026-08-18,unmatched
PMT-000031,FILE-0001,REF-M-0031,346.04,USD,inbound,Hill-Serrano,2026-08-14,2026-08-15,unmatched
PMT-000032,FILE-0001,REF-M-0032,1954.23,USD,inbound,Burns Inc,2026-08-21,2026-08-22,unmatched
PMT-000033,FILE-0001,REF-M-0033,369.83,USD,inbound,"Jones, Davis and Jones",2026-08-10,2026-08-11,unmatched
PMT-000034,FILE-0001,REF-M-0034,2162.27,USD,inbound,Gardner-Blair,2026-08-11,2026-08-12,unmatched
PMT-000035,FILE-0001,REF-M-0035,1431.68,USD,inbound,Collins-Mathis,2026-08-28,2026-08-28,unmatched
PMT-000036,FILE-0001,REF-M-0036,1757.22,USD,inbound,Watson-Garza,2026-08-18,2026-08-18,unmatched
PMT-000037,FILE-0001,REF-M-0037,821.61,USD,inbound,"Martinez, Manning and Wells",2026-08-08,2026-08-08,unmatched
PMT-000038,FILE-0001,REF-M-0038,2403.71,USD,inbound,"Ramirez, Mata and Miller",2026-08-05,2026-08-05,unmatched
PMT-000039,FILE-0001,REF-M-0039,889.49,USD,inbound,Conrad-Barton,2026-08-09,2026-08-09,unmatched
PMT-000040,FILE-0001,REF-M-0040,2262.14,USD,inbound,Coleman Group,2026-08-20,2026-08-21,unmatched
PMT-000041,FILE-0001,REF-M-0041,1280.77,USD,inbound,"Brown, Buchanan and Jackson",2026-08-16,2026-08-16,unmatched
PMT-000042,FILE-0001,REF-M-0042,1003.79,USD,inbound,Gonzalez-Hebert,2026-08-28,2026-08-28,unmatched
PMT-000043,FILE-0001,REF-M-0043,2085.87,USD,inbound,"Williams, Hardy and Ruiz",2026-08-20,2026-08-20,unmatched
PMT-000044,FILE-0001,REF-M-0044,687.82,USD,inbound,Jackson-Duke,2026-08-28,2026-08-28,unmatched
PMT-000045,FILE-0001,REF-M-0045,2149.06,USD,inbound,Rivera Group,2026-08-20,2026-08-20,unmatched
PMT-000046,FILE-0001,REF-M-0046,2293.26,USD,inbound,"Walter, Robertson and Park",2026-08-09,2026-08-09,unmatched
PMT-000047,FILE-0001,REF-M-0047,2150.79,USD,inbound,Huerta Group,2026-08-03,2026-08-03,unmatched
PMT-000048,FILE-0001,REF-M-0048,2461.43,USD,inbound,Davis and Sons,2026-08-06,2026-08-06,unmatched
PMT-000049,FILE-0001,REF-M-0049,1743.62,USD,inbound,Rice-Vasquez,2026-08-20,2026-08-20,unmatched
